kernel,M,K,N,time_ms,gflops,bandwidth_gb_s,arithmetic_intensity
cuBLAS,4096,4096,4096,25.4123,5408.37,7.92242,682.667
Naive,4096,4096,4096,194.533,706.505,1.03492,682.667
Tiled (32x32),4096,4096,4096,140.093,981.053,1.43709,682.667
Bank Conflict Free,4096,4096,4096,193.823,709.097,1.03872,682.667
Double Buffer,4096,4096,4096,190.184,722.662,1.05859,682.667
Tensor Core (WMMA),4096,4096,4096,39.5149,3478.16,5.09496,682.667
