kernel,M,K,N,time_ms,gflops,bandwidth_gb_s,arithmetic_intensity
cuBLAS,512,512,512,0.0588288,4562.99,53.4726,85.3333
Naive,512,512,512,0.423936,633.198,7.42029,85.3333
Tiled (32x32),512,512,512,0.336128,798.611,9.35872,85.3333
Bank Conflict Free,512,512,512,0.491059,546.646,6.40601,85.3333
Double Buffer,512,512,512,0.479744,559.539,6.5571,85.3333
Tensor Core (WMMA),512,512,512,0.0841728,3189.1,37.3723,85.3333
