kernel,M,K,N,time_ms,gflops,bandwidth_gb_s,arithmetic_intensity
cuBLAS,1024,1024,1024,0.36864,5825.42,34.1333,170.667
Naive,1024,1024,1024,3.57996,599.863,3.51482,170.667
Tiled (32x32),1024,1024,1024,2.28111,941.419,5.51613,170.667
Bank Conflict Free,1024,1024,1024,3.26026,658.684,3.85948,170.667
Double Buffer,1024,1024,1024,3.09151,694.64,4.07015,170.667
Tensor Core (WMMA),1024,1024,1024,0.780134,2752.71,16.1292,170.667
